id,County,State,Event,Date,Households,Participants
29001,Adair County,MO,Four Corners Lecture Series Presents Jason Nez: Sacred Landscape Sacred People,2020-06-04,1,1
29001,Adair County,MO,Four Corners Lecture Series Presents Michelle Turner: Archaeology of the Aztec North Great House,2020-06-25,1,1
29001,Adair County,MO,The Archaeology of Food and Social Transformation with Sarah Oas,2020-07-02,1,1
29001,Adair County,MO,Leaving Footprints in the Ancient Southwest with Ben Bellorado,2020-07-09,1,1
29001,Adair County,MO,Four Corners Lecture Series Presents Dr. Jim Allison,2020-08-06,1,1
29001,Adair County,MO,Four Corners Lecture Series Presents Robert Weiner,2020-08-13,1,1
29001,Adair County,MO,Four Corners Lecture Series Presents Genevieve Woodhead,2020-08-20,1,1
29001,Adair County,MO,Why Do We Call Them Kivas?,2020-08-27,1,1
29001,Adair County,MO,Exploring the Interplay between Climate and People in the Ancient US Southwest,2020-09-03,1,1
29001,Adair County,MO,"Worlds Forever Changed The Vázquez de Coronado Expedition to Central New Mexico, 1540-1542",2020-09-10,1,1
29001,Adair County,MO,Exploring Social Environments in the Southeast and Southwest with Catherine Cameron,2020-09-17,1,1
29001,Adair County,MO,Four Corners Lecture Series presents Ute History with Rebecca Hammond,2020-09-24,1,1
29001,Adair County,MO,Color in the Ancestral Pueblo Southwest with Dr. Marit Munson,2020-10-01,1,1
29001,Adair County,MO,Four Corners Lecture Series presents CCAC: Making History in the Mesa Verde Region,2020-10-08,1,1
29001,Adair County,MO,"Studying Casas Grandes Ceramics from the Midwest to Chihuahua, Mexico with Samantha Bomkamp",2020-10-15,1,1
29001,Adair County,MO,San Juan Red Ware & Social Networks across the Southwest with Robert Bischoff,2020-10-22,1,1
29001,Adair County,MO,An Embarrassment of Riches: Large Tree-Ring Datasets and the Reconstruction of Pre-Columbian History,2020-10-29,1,1
29001,Adair County,MO,Pueblo Archaeological & Historical Society presents The Archaeology of Rock Art w/ Dr. Loendorf,2020-11-05,1,1
29001,Adair County,MO,How Prevalent Was Ancestral Pueblo Garden Hunting? with Jonathan Dombrosky,2020-11-19,1,1
29001,Adair County,MO,"Pueblo Archaeological & Historical Society presents Barger Gulch, A Folsom Campsite w/ Dr. Surovell",2020-12-03,1,1
29001,Adair County,MO,Seasons of Navajo II with William Tsosie Jr.,2021-01-07,1,1
29001,Adair County,MO,"The Biographical Revolution in Plains Visual Culture, 1680-1880 CE with Dr. Severin Fowles",2021-01-14,1,1
29001,Adair County,MO,"The Hisatsinom Chapter presents Prehistoric Use of Florida Mesa Near Durango, CO w/ Tosh McKetta",2021-01-21,1,1
29001,Adair County,MO,Ancestral Pueblo turkey husbandry and management on the Pajarito Plateau w/ Dr Cyler Conrad,2021-01-28,1,1
08001,Adams County,CO,Discover Archaeology: Updates from the Northern Chaco Outliers Project,2020-03-26,8,8
08001,Adams County,CO,Four Corners Lecture Series Presents Dr. Kellam Throgmorton,2020-04-07,6,6
08001,Adams County,CO,Discover Archaeology: Flintknapping Demonstration by Tyson Hughes,2020-04-09,2,2
08001,Adams County,CO,Discover Archaeology: Food Webs with Dr. Stefani Crabtree,2020-04-23,1,1
08001,Adams County,CO,Southwest Indian Arts Webinar: Origins and Revivals,2020-04-28,4,4
08001,Adams County,CO,"Discover Archaeology: ""The T-Door is an Enigma..."" with Dr. Steve Lekson",2020-04-30,9,9
08001,Adams County,CO,Four Corners Lecture Series Presents Kevin Jones (Standing on the Walls of Time) webinar,2020-05-05,1,1
08001,Adams County,CO,"Ask an Archaeologist with Becky Hammond, Steve Copeland, and Susan Ryan",2020-05-07,2,2
08001,Adams County,CO,Friends of Cedar Mesa Presents Shanna Diederichs and Meadow Coldon,2020-05-12,4,4
08001,Adams County,CO,Digitizing the Past: Recent 3D Modeling at Crow Canyon with Grant Coffey,2020-05-21,5,5
08001,Adams County,CO,Four Corners Lecture Series Presents Edward Box III,2020-05-28,5,5
08001,Adams County,CO,Four Corners Lecture Series Presents Jason Nez: Sacred Landscape Sacred People,2020-06-04,10,10
08001,Adams County,CO,"Mimbres: Dimples, Slip-Slop, and Clapboard – What They Are and Why They Matter with Dr. Steve Lekson",2020-06-11,5,5
08001,Adams County,CO,Wild Wisdom: Essential Food and Medicine of the Land,2020-06-18,6,6
08001,Adams County,CO,Four Corners Lecture Series Presents Michelle Turner: Archaeology of the Aztec North Great House,2020-06-25,10,10
08001,Adams County,CO,The Archaeology of Food and Social Transformation with Sarah Oas,2020-07-02,8,8
08001,Adams County,CO,Leaving Footprints in the Ancient Southwest with Ben Bellorado,2020-07-09,5,5
08001,Adams County,CO,Historic Influences in Contemporary Pueblo Pottery with Charles King,2020-07-16,7,7
08001,Adams County,CO,Four Corners Lecture Series Presents Languages of the Landscape: The Cedar Mesa Perishables Project,2020-07-23,8,8
08001,Adams County,CO,New Approaches to Old Questions in Fremont Archaeology with Katie Richards,2020-07-30,6,6
08001,Adams County,CO,Four Corners Lecture Series Presents Dr. Jim Allison,2020-08-06,6,6
08001,Adams County,CO,Four Corners Lecture Series Presents Robert Weiner,2020-08-13,8,8
08001,Adams County,CO,Four Corners Lecture Series Presents Genevieve Woodhead,2020-08-20,7,7
08001,Adams County,CO,Why Do We Call Them Kivas?,2020-08-27,7,7
08001,Adams County,CO,Exploring the Interplay between Climate and People in the Ancient US Southwest,2020-09-03,5,5
08001,Adams County,CO,"Worlds Forever Changed The Vázquez de Coronado Expedition to Central New Mexico, 1540-1542",2020-09-10,6,6
08001,Adams County,CO,Exploring Social Environments in the Southeast and Southwest with Catherine Cameron,2020-09-17,6,6
08001,Adams County,CO,Four Corners Lecture Series presents Ute History with Rebecca Hammond,2020-09-24,7,7
08001,Adams County,CO,Color in the Ancestral Pueblo Southwest with Dr. Marit Munson,2020-10-01,5,5
08001,Adams County,CO,Four Corners Lecture Series presents CCAC: Making History in the Mesa Verde Region,2020-10-08,6,6
08001,Adams County,CO,Crow Canyon Annual Meeting,2020-10-10,5,5
08001,Adams County,CO,"Studying Casas Grandes Ceramics from the Midwest to Chihuahua, Mexico with Samantha Bomkamp",2020-10-15,7,7
08001,Adams County,CO,San Juan Red Ware & Social Networks across the Southwest with Robert Bischoff,2020-10-22,6,6
08001,Adams County,CO,An Embarrassment of Riches: Large Tree-Ring Datasets and the Reconstruction of Pre-Columbian History,2020-10-29,5,5
08001,Adams County,CO,Pueblo Archaeological & Historical Society presents The Archaeology of Rock Art w/ Dr. Loendorf,2020-11-05,6,6
08001,Adams County,CO,Phiogeh: A Classic Period Tewa Community in New Mexico with Patrick Cruz,2020-11-12,3,3
08001,Adams County,CO,How Prevalent Was Ancestral Pueblo Garden Hunting? with Jonathan Dombrosky,2020-11-19,2,2
08001,Adams County,CO,"Pueblo Archaeological & Historical Society presents Barger Gulch, A Folsom Campsite w/ Dr. Surovell",2020-12-03,7,7
16003,Adams County,ID,"Pueblo Archaeological & Historical Society presents Barger Gulch, A Folsom Campsite w/ Dr. Surovell",2020-12-03,1,1
17001,Adams County,IL,Discover Archaeology: Pueblo Farming Project Webinar with Mark Varien and Paul Ermigiotti,2020-04-16,1,1
42001,Adams County,PA,"Pueblo Archaeological & Historical Society presents Barger Gulch, A Folsom Campsite w/ Dr. Surovell",2020-12-03,1,1
50001,Addison County,VT,"Ask an Archaeologist with Becky Hammond, Steve Copeland, and Susan Ryan",2020-05-07,1,1
50001,Addison County,VT,Friends of Cedar Mesa Presents Shanna Diederichs and Meadow Coldon,2020-05-12,1,1
50001,Addison County,VT,Digitizing the Past: Recent 3D Modeling at Crow Canyon with Grant Coffey,2020-05-21,1,1
50001,Addison County,VT,Four Corners Lecture Series Presents Edward Box III,2020-05-28,1,1
50001,Addison County,VT,Four Corners Lecture Series Presents Jason Nez: Sacred Landscape Sacred People,2020-06-04,1,1
50001,Addison County,VT,"Mimbres: Dimples, Slip-Slop, and Clapboard – What They Are and Why They Matter with Dr. Steve Lekson",2020-06-11,1,1
50001,Addison County,VT,Wild Wisdom: Essential Food and Medicine of the Land,2020-06-18,1,1
50001,Addison County,VT,Four Corners Lecture Series Presents Michelle Turner: Archaeology of the Aztec North Great House,2020-06-25,1,1
50001,Addison County,VT,The Archaeology of Food and Social Transformation with Sarah Oas,2020-07-02,1,1
50001,Addison County,VT,Leaving Footprints in the Ancient Southwest with Ben Bellorado,2020-07-09,1,1
50001,Addison County,VT,Historic Influences in Contemporary Pueblo Pottery with Charles King,2020-07-16,1,1
50001,Addison County,VT,Four Corners Lecture Series Presents Languages of the Landscape: The Cedar Mesa Perishables Project,2020-07-23,1,1
50001,Addison County,VT,New Approaches to Old Questions in Fremont Archaeology with Katie Richards,2020-07-30,1,1
50001,Addison County,VT,Four Corners Lecture Series Presents Dr. Jim Allison,2020-08-06,1,1
50001,Addison County,VT,Four Corners Lecture Series Presents Robert Weiner,2020-08-13,1,1
50001,Addison County,VT,Four Corners Lecture Series Presents Genevieve Woodhead,2020-08-20,1,1
50001,Addison County,VT,Why Do We Call Them Kivas?,2020-08-27,1,1
50001,Addison County,VT,Exploring the Interplay between Climate and People in the Ancient US Southwest,2020-09-03,1,1
50001,Addison County,VT,"Worlds Forever Changed The Vázquez de Coronado Expedition to Central New Mexico, 1540-1542",2020-09-10,1,1
50001,Addison County,VT,Exploring Social Environments in the Southeast and Southwest with Catherine Cameron,2020-09-17,1,1
50001,Addison County,VT,Four Corners Lecture Series presents Ute History with Rebecca Hammond,2020-09-24,1,1
50001,Addison County,VT,Color in the Ancestral Pueblo Southwest with Dr. Marit Munson,2020-10-01,1,1
50001,Addison County,VT,Four Corners Lecture Series presents CCAC: Making History in the Mesa Verde Region,2020-10-08,1,1
50001,Addison County,VT,Crow Canyon Annual Meeting,2020-10-10,1,1
50001,Addison County,VT,"Studying Casas Grandes Ceramics from the Midwest to Chihuahua, Mexico with Samantha Bomkamp",2020-10-15,2,2
50001,Addison County,VT,San Juan Red Ware & Social Networks across the Southwest with Robert Bischoff,2020-10-22,1,1
50001,Addison County,VT,An Embarrassment of Riches: Large Tree-Ring Datasets and the Reconstruction of Pre-Columbian History,2020-10-29,1,1
50001,Addison County,VT,Pueblo Archaeological & Historical Society presents The Archaeology of Rock Art w/ Dr. Loendorf,2020-11-05,1,1
50001,Addison County,VT,Phiogeh: A Classic Period Tewa Community in New Mexico with Patrick Cruz,2020-11-12,1,1
50001,Addison County,VT,How Prevalent Was Ancestral Pueblo Garden Hunting? with Jonathan Dombrosky,2020-11-19,1,1
50001,Addison County,VT,"Pueblo Archaeological & Historical Society presents Barger Gulch, A Folsom Campsite w/ Dr. Surovell",2020-12-03,1,1
45003,Aiken County,SC,Discover Archaeology: Updates from the Northern Chaco Outliers Project,2020-03-26,1,1
06001,Alameda County,CA,Climate and Culture Online Seminar,2020-01-24,2,2
06001,Alameda County,CA,Discover Archaeology: Updates from the Northern Chaco Outliers Project,2020-03-26,4,4
06001,Alameda County,CA,Four Corners Lecture Series Presents Dr. Kellam Throgmorton,2020-04-07,3,3
06001,Alameda County,CA,Discover Archaeology: Flintknapping Demonstration by Tyson Hughes,2020-04-09,2,2
06001,Alameda County,CA,Discover Archaeology: Pueblo Farming Project Webinar with Mark Varien and Paul Ermigiotti,2020-04-16,1,1
06001,Alameda County,CA,Discover Archaeology: Food Webs with Dr. Stefani Crabtree,2020-04-23,1,1
06001,Alameda County,CA,Southwest Indian Arts Webinar: Origins and Revivals,2020-04-28,2,2
06001,Alameda County,CA,"Discover Archaeology: ""The T-Door is an Enigma..."" with Dr. Steve Lekson",2020-04-30,5,5
06001,Alameda County,CA,Four Corners Lecture Series Presents Kevin Jones (Standing on the Walls of Time) webinar,2020-05-05,3,3
06001,Alameda County,CA,Friends of Cedar Mesa Presents Shanna Diederichs and Meadow Coldon,2020-05-12,4,4
06001,Alameda County,CA,Digitizing the Past: Recent 3D Modeling at Crow Canyon with Grant Coffey,2020-05-21,2,2
06001,Alameda County,CA,Four Corners Lecture Series Presents Edward Box III,2020-05-28,3,3
06001,Alameda County,CA,Four Corners Lecture Series Presents Jason Nez: Sacred Landscape Sacred People,2020-06-04,4,4
06001,Alameda County,CA,"Mimbres: Dimples, Slip-Slop, and Clapboard – What They Are and Why They Matter with Dr. Steve Lekson",2020-06-11,3,3
06001,Alameda County,CA,Wild Wisdom: Essential Food and Medicine of the Land,2020-06-18,6,6
06001,Alameda County,CA,Four Corners Lecture Series Presents Michelle Turner: Archaeology of the Aztec North Great House,2020-06-25,4,4
06001,Alameda County,CA,The Archaeology of Food and Social Transformation with Sarah Oas,2020-07-02,5,5
06001,Alameda County,CA,Leaving Footprints in the Ancient Southwest with Ben Bellorado,2020-07-09,4,4
06001,Alameda County,CA,Historic Influences in Contemporary Pueblo Pottery with Charles King,2020-07-16,1,1
06001,Alameda County,CA,Four Corners Lecture Series Presents Languages of the Landscape: The Cedar Mesa Perishables Project,2020-07-23,6,7
06001,Alameda County,CA,New Approaches to Old Questions in Fremont Archaeology with Katie Richards,2020-07-30,3,3
06001,Alameda County,CA,Four Corners Lecture Series Presents Dr. Jim Allison,2020-08-06,5,5
06001,Alameda County,CA,Four Corners Lecture Series Presents Robert Weiner,2020-08-13,5,5
06001,Alameda County,CA,Four Corners Lecture Series Presents Genevieve Woodhead,2020-08-20,5,5
06001,Alameda County,CA,Why Do We Call Them Kivas?,2020-08-27,9,9
06001,Alameda County,CA,Exploring the Interplay between Climate and People in the Ancient US Southwest,2020-09-03,5,5
06001,Alameda County,CA,"Worlds Forever Changed The Vázquez de Coronado Expedition to Central New Mexico, 1540-1542",2020-09-10,5,5
06001,Alameda County,CA,Exploring Social Environments in the Southeast and Southwest with Catherine Cameron,2020-09-17,3,3
06001,Alameda County,CA,Four Corners Lecture Series presents Ute History with Rebecca Hammond,2020-09-24,2,2
06001,Alameda County,CA,Color in the Ancestral Pueblo Southwest with Dr. Marit Munson,2020-10-01,4,4
06001,Alameda County,CA,Four Corners Lecture Series presents CCAC: Making History in the Mesa Verde Region,2020-10-08,2,2
06001,Alameda County,CA,"Studying Casas Grandes Ceramics from the Midwest to Chihuahua, Mexico with Samantha Bomkamp",2020-10-15,3,3
06001,Alameda County,CA,San Juan Red Ware & Social Networks across the Southwest with Robert Bischoff,2020-10-22,2,2
06001,Alameda County,CA,An Embarrassment of Riches: Large Tree-Ring Datasets and the Reconstruction of Pre-Columbian History,2020-10-29,2,2
06001,Alameda County,CA,Pueblo Archaeological & Historical Society presents The Archaeology of Rock Art w/ Dr. Loendorf,2020-11-05,3,3
06001,Alameda County,CA,Phiogeh: A Classic Period Tewa Community in New Mexico with Patrick Cruz,2020-11-12,2,2
06001,Alameda County,CA,"Pueblo Archaeological & Historical Society presents Barger Gulch, A Folsom Campsite w/ Dr. Surovell",2020-12-03,2,2
08003,Alamosa County,CO,Four Corners Lecture Series Presents Kevin Jones (Standing on the Walls of Time) webinar,2020-05-05,1,1
08003,Alamosa County,CO,Four Corners Lecture Series Presents Jason Nez: Sacred Landscape Sacred People,2020-06-04,1,1
08003,Alamosa County,CO,Four Corners Lecture Series Presents Dr. Jim Allison,2020-08-06,1,1
36001,Albany County,NY,Four Corners Lecture Series Presents Jason Nez: Sacred Landscape Sacred People,2020-06-04,1,1
36001,Albany County,NY,Wild Wisdom: Essential Food and Medicine of the Land,2020-06-18,1,1
36001,Albany County,NY,Four Corners Lecture Series Presents Dr. Jim Allison,2020-08-06,1,1
36001,Albany County,NY,Why Do We Call Them Kivas?,2020-08-27,1,1
36001,Albany County,NY,Phiogeh: A Classic Period Tewa Community in New Mexico with Patrick Cruz,2020-11-12,1,1
36001,Albany County,NY,How Prevalent Was Ancestral Pueblo Garden Hunting? with Jonathan Dombrosky,2020-11-19,1,1
36001,Albany County,NY,"Pueblo Archaeological & Historical Society presents Barger Gulch, A Folsom Campsite w/ Dr. Surovell",2020-12-03,1,1
56001,Albany County,WY,Discover Archaeology: Food Webs with Dr. Stefani Crabtree,2020-04-23,1,1
56001,Albany County,WY,Four Corners Lecture Series Presents Languages of the Landscape: The Cedar Mesa Perishables Project,2020-07-23,1,1
56001,Albany County,WY,"Worlds Forever Changed The Vázquez de Coronado Expedition to Central New Mexico, 1540-1542",2020-09-10,1,1
56001,Albany County,WY,Pueblo Archaeological & Historical Society presents The Archaeology of Rock Art w/ Dr. Loendorf,2020-11-05,12,12
56001,Albany County,WY,How Prevalent Was Ancestral Pueblo Garden Hunting? with Jonathan Dombrosky,2020-11-19,2,2
56001,Albany County,WY,"Pueblo Archaeological & Historical Society presents Barger Gulch, A Folsom Campsite w/ Dr. Surovell",2020-12-03,11,11
51003,Albemarle County,VA,Historic Influences in Contemporary Pueblo Pottery with Charles King,2020-07-16,1,1
51003,Albemarle County,VA,"Worlds Forever Changed The Vázquez de Coronado Expedition to Central New Mexico, 1540-1542",2020-09-10,1,1
51003,Albemarle County,VA,An Embarrassment of Riches: Large Tree-Ring Datasets and the Reconstruction of Pre-Columbian History,2020-10-29,1,1
51003,Albemarle County,VA,Pueblo Archaeological & Historical Society presents The Archaeology of Rock Art w/ Dr. Loendorf,2020-11-05,1,1
51510,Alexandria city,VA,Four Corners Lecture Series Presents Dr. Kellam Throgmorton,2020-04-07,1,1
51510,Alexandria city,VA,Discover Archaeology: Pueblo Farming Project Webinar with Mark Varien and Paul Ermigiotti,2020-04-16,1,1
51510,Alexandria city,VA,Southwest Indian Arts Webinar: Origins and Revivals,2020-04-28,1,1
51510,Alexandria city,VA,Four Corners Lecture Series Presents Edward Box III,2020-05-28,1,1
51510,Alexandria city,VA,Four Corners Lecture Series Presents Jason Nez: Sacred Landscape Sacred People,2020-06-04,1,1
51510,Alexandria city,VA,"Mimbres: Dimples, Slip-Slop, and Clapboard – What They Are and Why They Matter with Dr. Steve Lekson",2020-06-11,2,2
51510,Alexandria city,VA,Wild Wisdom: Essential Food and Medicine of the Land,2020-06-18,2,2
51510,Alexandria city,VA,Four Corners Lecture Series Presents Michelle Turner: Archaeology of the Aztec North Great House,2020-06-25,3,3
51510,Alexandria city,VA,The Archaeology of Food and Social Transformation with Sarah Oas,2020-07-02,1,1
51510,Alexandria city,VA,Leaving Footprints in the Ancient Southwest with Ben Bellorado,2020-07-09,1,1
51510,Alexandria city,VA,Historic Influences in Contemporary Pueblo Pottery with Charles King,2020-07-16,1,1
51510,Alexandria city,VA,Four Corners Lecture Series Presents Languages of the Landscape: The Cedar Mesa Perishables Project,2020-07-23,1,1
51510,Alexandria city,VA,New Approaches to Old Questions in Fremont Archaeology with Katie Richards,2020-07-30,4,4
51510,Alexandria city,VA,Four Corners Lecture Series Presents Dr. Jim Allison,2020-08-06,3,3
51510,Alexandria city,VA,Four Corners Lecture Series Presents Robert Weiner,2020-08-13,2,2
51510,Alexandria city,VA,Four Corners Lecture Series Presents Genevieve Woodhead,2020-08-20,2,2
51510,Alexandria city,VA,Why Do We Call Them Kivas?,2020-08-27,4,4
51510,Alexandria city,VA,Exploring the Interplay between Climate and People in the Ancient US Southwest,2020-09-03,2,2
51510,Alexandria city,VA,"Worlds Forever Changed The Vázquez de Coronado Expedition to Central New Mexico, 1540-1542",2020-09-10,4,4
51510,Alexandria city,VA,Exploring Social Environments in the Southeast and Southwest with Catherine Cameron,2020-09-17,4,4
51510,Alexandria city,VA,Four Corners Lecture Series presents Ute History with Rebecca Hammond,2020-09-24,3,3
51510,Alexandria city,VA,Color in the Ancestral Pueblo Southwest with Dr. Marit Munson,2020-10-01,5,5
51510,Alexandria city,VA,Four Corners Lecture Series presents CCAC: Making History in the Mesa Verde Region,2020-10-08,2,2
51510,Alexandria city,VA,Crow Canyon Annual Meeting,2020-10-10,2,2
51510,Alexandria city,VA,"Studying Casas Grandes Ceramics from the Midwest to Chihuahua, Mexico with Samantha Bomkamp",2020-10-15,3,3
51510,Alexandria city,VA,San Juan Red Ware & Social Networks across the Southwest with Robert Bischoff,2020-10-22,3,3
51510,Alexandria city,VA,An Embarrassment of Riches: Large Tree-Ring Datasets and the Reconstruction of Pre-Columbian History,2020-10-29,4,4
51510,Alexandria city,VA,Pueblo Archaeological & Historical Society presents The Archaeology of Rock Art w/ Dr. Loendorf,2020-11-05,2,2
51510,Alexandria city,VA,Phiogeh: A Classic Period Tewa Community in New Mexico with Patrick Cruz,2020-11-12,2,2
51510,Alexandria city,VA,How Prevalent Was Ancestral Pueblo Garden Hunting? with Jonathan Dombrosky,2020-11-19,1,1
51510,Alexandria city,VA,"Pueblo Archaeological & Historical Society presents Barger Gulch, A Folsom Campsite w/ Dr. Surovell",2020-12-03,2,2
51510,Alexandria city,VA,Seasons of Navajo II with William Tsosie Jr.,2021-01-07,1,1
26005,Allegan County,MI,Four Corners Lecture Series Presents Kevin Jones (Standing on the Walls of Time) webinar,2020-05-05,1,1
26005,Allegan County,MI,Historic Influences in Contemporary Pueblo Pottery with Charles King,2020-07-16,1,1
42003,Allegheny County,PA,Four Corners Lecture Series Presents Dr. Kellam Throgmorton,2020-04-07,1,1
42003,Allegheny County,PA,Discover Archaeology: Pueblo Farming Project Webinar with Mark Varien and Paul Ermigiotti,2020-04-16,1,1
42003,Allegheny County,PA,Discover Archaeology: Food Webs with Dr. Stefani Crabtree,2020-04-23,2,2
42003,Allegheny County,PA,Southwest Indian Arts Webinar: Origins and Revivals,2020-04-28,2,2
42003,Allegheny County,PA,"Discover Archaeology: ""The T-Door is an Enigma..."" with Dr. Steve Lekson",2020-04-30,3,3
42003,Allegheny County,PA,Four Corners Lecture Series Presents Kevin Jones (Standing on the Walls of Time) webinar,2020-05-05,1,1
42003,Allegheny County,PA,"Ask an Archaeologist with Becky Hammond, Steve Copeland, and Susan Ryan",2020-05-07,2,2
42003,Allegheny County,PA,Friends of Cedar Mesa Presents Shanna Diederichs and Meadow Coldon,2020-05-12,2,2
42003,Allegheny County,PA,Digitizing the Past: Recent 3D Modeling at Crow Canyon with Grant Coffey,2020-05-21,2,2
42003,Allegheny County,PA,Four Corners Lecture Series Presents Edward Box III,2020-05-28,3,3
42003,Allegheny County,PA,Four Corners Lecture Series Presents Jason Nez: Sacred Landscape Sacred People,2020-06-04,1,1
42003,Allegheny County,PA,"Mimbres: Dimples, Slip-Slop, and Clapboard – What They Are and Why They Matter with Dr. Steve Lekson",2020-06-11,2,2
42003,Allegheny County,PA,Wild Wisdom: Essential Food and Medicine of the Land,2020-06-18,1,1
42003,Allegheny County,PA,Four Corners Lecture Series Presents Michelle Turner: Archaeology of the Aztec North Great House,2020-06-25,1,1
42003,Allegheny County,PA,The Archaeology of Food and Social Transformation with Sarah Oas,2020-07-02,1,1
42003,Allegheny County,PA,Leaving Footprints in the Ancient Southwest with Ben Bellorado,2020-07-09,1,1
42003,Allegheny County,PA,Four Corners Lecture Series Presents Genevieve Woodhead,2020-08-20,1,1
42003,Allegheny County,PA,Why Do We Call Them Kivas?,2020-08-27,2,2
42003,Allegheny County,PA,"Worlds Forever Changed The Vázquez de Coronado Expedition to Central New Mexico, 1540-1542",2020-09-10,2,2
42003,Allegheny County,PA,Exploring Social Environments in the Southeast and Southwest with Catherine Cameron,2020-09-17,2,2
42003,Allegheny County,PA,Four Corners Lecture Series presents Ute History with Rebecca Hammond,2020-09-24,3,3
42003,Allegheny County,PA,Color in the Ancestral Pueblo Southwest with Dr. Marit Munson,2020-10-01,1,1
42003,Allegheny County,PA,Four Corners Lecture Series presents CCAC: Making History in the Mesa Verde Region,2020-10-08,1,1
42003,Allegheny County,PA,"Studying Casas Grandes Ceramics from the Midwest to Chihuahua, Mexico with Samantha Bomkamp",2020-10-15,1,1
42003,Allegheny County,PA,San Juan Red Ware & Social Networks across the Southwest with Robert Bischoff,2020-10-22,1,1
42003,Allegheny County,PA,An Embarrassment of Riches: Large Tree-Ring Datasets and the Reconstruction of Pre-Columbian History,2020-10-29,1,1
42003,Allegheny County,PA,Pueblo Archaeological & Historical Society presents The Archaeology of Rock Art w/ Dr. Loendorf,2020-11-05,2,2
42003,Allegheny County,PA,Phiogeh: A Classic Period Tewa Community in New Mexico with Patrick Cruz,2020-11-12,2,2
42003,Allegheny County,PA,How Prevalent Was Ancestral Pueblo Garden Hunting? with Jonathan Dombrosky,2020-11-19,2,2
42003,Allegheny County,PA,"Pueblo Archaeological & Historical Society presents Barger Gulch, A Folsom Campsite w/ Dr. Surovell",2020-12-03,3,3
18003,Allen County,IN,Southwest Indian Arts Webinar: Origins and Revivals,2020-04-28,1,1
06005,Amador County,CA,Four Corners Lecture Series Presents Languages of the Landscape: The Cedar Mesa Perishables Project,2020-07-23,1,1
02020,Anchorage Municipality,AK,Friends of Cedar Mesa Presents Shanna Diederichs and Meadow Coldon,2020-05-12,2,2
02020,Anchorage Municipality,AK,Digitizing the Past: Recent 3D Modeling at Crow Canyon with Grant Coffey,2020-05-21,2,2
02020,Anchorage Municipality,AK,Four Corners Lecture Series Presents Edward Box III,2020-05-28,2,2
02020,Anchorage Municipality,AK,Four Corners Lecture Series Presents Jason Nez: Sacred Landscape Sacred People,2020-06-04,2,2
02020,Anchorage Municipality,AK,"Mimbres: Dimples, Slip-Slop, and Clapboard – What They Are and Why They Matter with Dr. Steve Lekson",2020-06-11,2,2
02020,Anchorage Municipality,AK,Wild Wisdom: Essential Food and Medicine of the Land,2020-06-18,2,2
